Order Priority,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Region,State or Province,City,Order Date,Ship Date,Quantity ,Order ID
High,18.97,9.03,2498,Arlene Long,Regular Air,Small Business,Office Supplies,Paper,Small Box,Computer Printout Paper with Letter-Trim Perforations,West,California,San Diego,02/05/2013,03/05/2013,27,3524
Low,80.98,35,2498,Arlene Long,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,Carina Double Wide Media Storage Towers in Natural & Black,West,California,San Diego,04/05/2013,08/05/2013,52,8833
Not Specified,355.98,58.92,2499,Geoffrey Koch,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Central,Illinois,Kankakee,18/02/2010,20/02/2010,8,88319
Medium,22.84,16.87,2499,Geoffrey Koch,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1982,Central,Illinois,Kankakee,30/09/2011,01/10/2011,3,88321
Critical,19.98,5.97,2499,Geoffrey Koch,Express Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1936,Central,Illinois,Kankakee,29/09/2012,01/10/2012,9,88323
Critical,6.48,7.03,2499,Geoffrey Koch,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 214,Central,Illinois,Kankakee,29/09/2012,30/09/2012,12,88323
Not Specified,218.75,69.64,2499,Geoffrey Koch,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Central,Illinois,Kankakee,18/02/2013,18/02/2013,2,88324
High,18.97,9.03,2499,Geoffrey Koch,Regular Air,Small Business,Office Supplies,Paper,Small Box,Computer Printout Paper with Letter-Trim Perforations,Central,Illinois,Kankakee,02/05/2013,03/05/2013,7,88325
Low,80.98,35,2499,Geoffrey Koch,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,Carina Double Wide Media Storage Towers in Natural & Black,Central,Illinois,Kankakee,04/05/2013,08/05/2013,13,88326
Medium,6.28,5.41,2500,Kevin Smith,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Eldon® 200 Class™ Desk Accessories,Central,Illinois,Lake In The Hills,02/08/2010,04/08/2010,14,88320
Critical,11.97,4.98,2500,Kevin Smith,Regular Air,Small Business,Office Supplies,Appliances,Small Box,Staples 6 Outlet Surge,Central,Illinois,Lake In The Hills,15/10/2011,17/10/2011,12,88322
Critical,29.74,6.64,2500,Kevin Smith,Express Air,Small Business,Office Supplies,Storage & Organization,Small Box,Acco Perma® 2700 Stacking Storage Drawers,Central,Illinois,Lake In The Hills,15/10/2011,18/10/2011,15,88322
Not Specified,1.68,1.57,2500,Kevin Smith,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,Central,Illinois,Lake In The Hills,05/08/2013,06/08/2013,25,88327
Critical,95.43,19.99,2500,Kevin Smith,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Central,Illinois,Lake In The Hills,15/10/2013,16/10/2013,12,88328
High,24.92,12.98,2502,Toni Owens Poe,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,GBC Standard Therm-A-Bind Covers,Central,Indiana,Munster,19/03/2010,19/03/2010,3,91310
High,12.28,6.35,2502,Toni Owens Poe,Express Air,Home Office,Office Supplies,Paper,Small Box,Staples Premium Bright 1-Part Blank Computer Paper,Central,Indiana,Munster,19/03/2010,20/03/2010,7,91310
High,270.97,28.06,2502,Toni Owens Poe,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Epson LQ-570e Dot Matrix Printer,Central,Indiana,Munster,19/03/2013,19/03/2013,2,91313
Critical,115.99,5.92,2503,Neil Jacobson,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,8890,Central,Texas,Missouri City,27/08/2011,28/08/2011,18,91311
Medium,48.04,7.23,2503,Neil Jacobson,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1885,Central,Texas,Missouri City,18/12/2012,20/12/2012,10,91312
High,3.28,3.97,2503,Neil Jacobson,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 342,Central,Texas,Missouri City,19/03/2013,19/03/2013,7,91313
Low,46.94,6.77,2505,Cameron Gentry Herndon,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",West,California,Daly City,24/05/2011,02/06/2011,18,87034
Low,161.55,19.99,2505,Cameron Gentry Herndon,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,West,California,Daly City,24/05/2011,28/05/2011,3,87034
Medium,6.48,8.74,2506,Alfred Harmon,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1984,East,Connecticut,Cheshire,05/12/2010,07/12/2010,1,87033
Medium,699.99,24.49,2507,Jeanette Davies,Express Air,Home Office,Technology,Copiers and Fax,Large Box,Canon PC1060 Personal Laser Copier,East,Maine,Bangor,05/12/2010,07/12/2010,15,87033
Low,5.81,8.49,2508,Pauline Brooks,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes Black Plastic Comb Bindings,East,Maine,Sanford,08/07/2010,12/07/2010,7,87031
Medium,30.98,9.18,2509,Sidney Larson,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1951,East,Maine,South Portland,05/05/2010,05/05/2010,15,87029
Not Specified,52.99,19.99,2510,Emily Adkins,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",East,Massachusetts,Andover,16/10/2011,17/10/2011,1,87036
Low,65.99,8.99,2511,Brad Teague,Express Air,Home Office,Technology,Telephones and Communication,Small Box,5180,East,Massachusetts,Boston,01/09/2011,06/09/2011,2,87035
Not Specified,6.48,9.54,2512,Frances Holt,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1905,East,Massachusetts,Cambridge,15/06/2010,17/06/2010,19,87030
Low,53.98,5.5,2513,Renee McKinney,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Nu-Form 106-Key Ergonomic Keyboard w/ Touchpad,East,Massachusetts,Pepperell,27/04/2013,06/05/2013,5,87040
Critical,3.98,2.97,2514,Dan Roach,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Unpadded Memo Slips,East,New Hampshire,Londonderry,20/12/2012,22/12/2012,21,87039
Medium,4.84,0.71,2515,Claudia Upchurch,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,East,New Jersey,Edison,26/08/2012,27/08/2012,2,87038
Medium,17.15,4.96,2516,Leo E Underwood,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Advantus Rolling Storage Box,East,New Jersey,Englewood,05/12/2010,07/12/2010,11,87033
Low,205.99,5.26,2517,Clyde S Randall,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,i470,East,New Jersey,Long Branch,27/04/2013,01/05/2013,5,87040
Not Specified,4.91,5.68,2518,Leigh Wyatt,Express Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",East,New Jersey,Roselle,16/10/2011,18/10/2011,21,87036
Not Specified,30.73,4,2519,Earl King,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Fellowes 17-key keypad for PS/2 interface,East,Rhode Island,Central Falls,16/10/2011,16/10/2011,14,87036
Medium,30.98,8.74,2520,Sandy Mueller,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1979,East,Rhode Island,Providence,05/12/2010,06/12/2010,12,87033
Medium,175.99,4.99,2521,Shawn Meyer,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,5165,Central,Texas,Corsicana,18/08/2010,21/08/2010,15,87032
Not Specified,99.23,8.99,2521,Shawn Meyer,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Central,Texas,Corsicana,03/12/2011,05/12/2011,15,87037
Medium,1360.14,14.7,2522,Harriet Wooten,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Okidata ML395C Color Dot Matrix Printer,East,Vermont,Burlington,05/12/2010,08/12/2010,6,87033
Low,8.45,7.77,2523,Russell Chen,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Elite 5"" Scissors",East,Vermont,Colchester,01/09/2011,06/09/2011,20,87035
High,218.75,69.64,2525,Grace Everett,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,South,Alabama,Oxford,26/08/2011,28/08/2011,5,87209
Low,65.99,7.69,2525,Grace Everett,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,5190,South,Alabama,Oxford,27/11/2011,01/12/2011,20,87210
Low,65.99,8.99,2525,Grace Everett,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC Analog,South,Alabama,Oxford,27/11/2011,04/12/2011,17,87210
Medium,4.98,4.72,2525,Grace Everett,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1949,South,Alabama,Oxford,06/07/2012,07/07/2012,1,87211
Medium,7.08,2.35,2525,Grace Everett,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accent™ Highlighters,South,Alabama,Oxford,06/07/2012,08/07/2012,16,87211
Critical,6.28,5.29,2525,Grace Everett,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,"Eldon® 200 Class™ Desk Accessories, Burgundy",South,Alabama,Oxford,29/07/2013,30/07/2013,14,87213
Critical,2.16,6.05,2526,Derek Sweeney,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,South,Louisiana,Lafayette,23/11/2010,25/11/2010,24,87208
Critical,315.98,19.99,2526,Derek Sweeney,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC ProClick™ 150 Presentation Binding System,South,Louisiana,Lafayette,17/10/2012,19/10/2012,9,87212
Critical,21.38,8.99,2527,Gretchen Orr,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,South,Louisiana,Lake Charles,23/11/2010,25/11/2010,3,87208
High,21.66,13.99,2527,Gretchen Orr,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Holmes 99% HEPA Air Purifier,South,Louisiana,Lake Charles,26/08/2011,28/08/2011,13,87209
High,35.99,3.3,2527,Gretchen Orr,Regular Air,Corporate,Technology,Telephones and Communication,Small Pack,Accessory9,South,Louisiana,Lake Charles,26/08/2011,28/08/2011,20,87209
High,155.99,8.99,2527,Gretchen Orr,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,LX 788,South,Louisiana,Lake Charles,26/08/2011,27/08/2011,5,87209
Critical,8.74,8.29,2529,Francis McKenzie,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",West,California,Antioch,03/09/2011,05/09/2011,3,87457
High,40.98,6.5,2530,Janet Zhang,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Targus USB Numeric Keypad,West,California,Apple Valley,29/03/2010,30/03/2010,7,87451
Not Specified,40.97,8.99,2530,Janet Zhang,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,Sanford 52201 APSCO Electric Pencil Sharpener,West,California,Apple Valley,17/05/2011,17/05/2011,17,87456
Not Specified,101.41,35,2530,Janet Zhang,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,Tennsco Regal Shelving Units,West,California,Apple Valley,17/05/2011,19/05/2011,2,87456
Not Specified,55.99,1.25,2530,Janet Zhang,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory32,West,California,Apple Valley,17/05/2011,19/05/2011,15,87456
Medium,4,1.3,2531,Rick Houston,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,EcoTones® Memo Sheets,West,California,Atascadero,02/05/2010,04/05/2010,14,87452
High,4.89,6.07,2531,Rick Houston,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,UniKeep™ View Case Binders,West,California,Atascadero,24/02/2011,26/02/2011,9,87454
Medium,212.6,52.2,2531,Rick Houston,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Bush Advantage Collection® Round Conference Table,West,California,Atascadero,10/04/2011,12/04/2011,2,87455
Medium,19.98,5.86,2531,Rick Houston,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 191,West,California,Atascadero,26/01/2013,27/01/2013,1,87458
Medium,29.89,1.99,2531,Rick Houston,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",West,California,Atascadero,02/05/2013,03/05/2013,14,87459
High,5.81,3.37,2531,Rick Houston,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"Advantus Push Pins, Aluminum Head",West,California,Atascadero,26/12/2013,26/12/2013,22,87462
Medium,67.28,19.99,2532,Max Kuhn Bailey,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Catalog Binders with Expanding Posts,East,Connecticut,Colchester,03/01/2011,04/01/2011,5,87453
Medium,150.98,13.99,2533,Eva Wagner,Regular Air,Small Business,Technology,Office Machines,Medium Box,Canon MP41DH Printing Calculator,East,Connecticut,Naugatuck,21/12/2013,22/12/2013,4,87461
High,35.99,3.3,2534,Mitchell Goldberg,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory9,East,Maine,Bangor,29/03/2010,31/03/2010,5,87451
Low,124.49,51.94,2534,Mitchell Goldberg,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Bevis 36 x 72 Conference Tables,East,Maine,Bangor,04/09/2013,09/09/2013,11,87460
Medium,6.24,5.22,2535,Mike Haas,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Eldon Expressions Mahogany Wood Desk Collection,East,Massachusetts,Needham,21/12/2013,23/12/2013,23,87461
Medium,65.99,5.92,2536,Kent Hoover,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,252,East,Massachusetts,North Pembroke,21/12/2013,24/12/2013,24,87461
Critical,10.98,3.37,2538,Ruby Booth,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,South,Florida,Winter Haven,30/09/2013,01/10/2013,1,91024
Not Specified,12.53,0.5,2539,Max Hubbard,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 485,South,Florida,Winter Park,07/04/2010,08/04/2010,5,91017
Low,59.98,3.99,2539,Max Hubbard,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,South,Florida,Winter Park,30/04/2011,02/05/2011,1,91018
Low,256.99,11.25,2539,Max Hubbard,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Hayes Optima 56K V.90 Internal Voice Modem,South,Florida,Winter Park,30/04/2011,30/04/2011,6,91018
Low,35.99,5,2539,Max Hubbard,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory17,South,Florida,Winter Park,30/04/2011,02/05/2011,12,91018
Not Specified,25.98,14.36,2539,Max Hubbard,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Stack Chair without Arms, Black",South,Florida,Winter Park,24/06/2012,25/06/2012,2,91020
Not Specified,449.99,24.49,2539,Max Hubbard,Regular Air,Home Office,Technology,Copiers and Fax,Large Box,Canon PC940 Copier,South,Florida,Winter Park,24/06/2012,26/06/2012,12,91020
Not Specified,3.52,6.83,2539,Max Hubbard,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Self-Adhesive Ring Binder Labels,South,Florida,Winter Park,13/07/2012,15/07/2012,13,91021
Not Specified,7.28,4.23,2539,Max Hubbard,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",South,Florida,Winter Park,13/07/2012,14/07/2012,9,91021
Not Specified,178.47,19.99,2540,Helen Ferguson,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,"Hot File® 7-Pocket, Floor Stand",South,Florida,Winter Springs,07/04/2010,08/04/2010,1,91017
Medium,30.56,2.99,2540,Helen Ferguson,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Surelock™ Post Binders,South,Florida,Winter Springs,04/09/2011,06/09/2011,5,91019
Medium,2.61,0.5,2540,Helen Ferguson,Express Air,Home Office,Office Supplies,Labels,Small Box,Avery 494,South,Florida,Winter Springs,21/01/2013,22/01/2013,11,91022
High,24.92,12.98,2540,Helen Ferguson,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Standard Therm-A-Bind Covers,South,Florida,Winter Springs,16/07/2013,17/07/2013,9,91023
High,2.78,0.97,2542,Anne Kelley,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 339,East,New York,Rye,03/10/2012,05/10/2012,20,87921
High,62.18,10.84,2542,Anne Kelley,Regular Air,Small Business,Furniture,Office Furnishings,Medium Box,Deflect-o Glass Clear Studded Chair Mats,East,New York,Rye,03/04/2013,05/04/2013,7,87924
Critical,152.48,4,2542,Anne Kelley,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Adesso Programmable 142-Key Keyboard,East,New York,Rye,10/11/2013,12/11/2013,11,87930
Critical,15.04,1.97,2542,Anne Kelley,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,White GlueTop Scratch Pads,East,New York,Rye,10/11/2013,11/11/2013,38,87930
Medium,15.68,3.73,2543,Josephine Dalton,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,Artistic Insta-Plaque,South,Virginia,Richmond,11/12/2010,12/12/2010,17,87917
Medium,195.99,4.2,2543,Josephine Dalton,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,T65,South,Virginia,Richmond,11/12/2010,12/12/2010,19,87917
Not Specified,6.48,8.4,2543,Josephine Dalton,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 212,South,Virginia,Richmond,18/09/2013,18/09/2013,15,87929
Not Specified,15.42,5.41,2543,Josephine Dalton,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Decoflex Hanging Personal Folder File,South,Virginia,Richmond,18/09/2013,20/09/2013,24,87929
Medium,2.21,1,2544,Harvey Barefoot,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Quartet Alpha® White Chalk, 12/Pack",South,Virginia,Roanoke,24/11/2011,25/11/2011,23,87918
High,10.01,1.99,2544,Harvey Barefoot,Express Air,Small Business,Technology,Computer Peripherals,Small Pack,TDK 4.7GB DVD-R,South,Virginia,Roanoke,01/04/2013,03/04/2013,1,87923
Medium,99.99,19.99,2545,Rick Ellis,Express Air,Home Office,Technology,Office Machines,Small Box,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,South,Virginia,Springfield,10/03/2010,12/03/2010,2,87915
Medium,6.37,5.19,2545,Rick Ellis,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",South,Virginia,Springfield,24/11/2011,26/11/2011,17,87918
Medium,6.68,6.93,2545,Rick Ellis,Express Air,Home Office,Office Supplies,Paper,Small Box,HP Office Paper (20Lb. and 87 Bright),South,Virginia,Springfield,20/04/2012,21/04/2012,12,87919
Medium,95.99,35,2545,Rick Ellis,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,Safco Industrial Wire Shelving,South,Virginia,Springfield,20/04/2012,22/04/2012,7,87919
Low,35.99,1.25,2545,Rick Ellis,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory23,South,Virginia,Springfield,29/10/2012,03/11/2012,11,87922
Not Specified,12.97,1.49,2545,Rick Ellis,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",South,Virginia,Springfield,04/06/2013,06/06/2013,3,87925
Medium,8.6,6.19,2545,Rick Ellis,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Avery Printable Repositionable Plastic Tabs,South,Virginia,Springfield,10/08/2013,12/08/2013,1,87926
Medium,165.2,19.99,2545,Rick Ellis,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Economy Rollaway Files,South,Virginia,Springfield,10/08/2013,11/08/2013,5,87926
Not Specified,4.38,6.21,2546,Jesse Fisher,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Acco 3-Hole Punch,South,Virginia,Suffolk,02/07/2012,03/07/2012,8,87920
Not Specified,1.89,0.76,2546,Jesse Fisher,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Revere Boxed Rubber Bands by Revere,South,Virginia,Suffolk,02/07/2012,03/07/2012,13,87920
Not Specified,9.31,3.98,2546,Jesse Fisher,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,South,Virginia,Suffolk,02/07/2012,05/07/2012,10,87920
High,43.41,2.99,2546,Jesse Fisher,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Satellite Sectional Post Binders,South,Virginia,Suffolk,16/12/2013,17/12/2013,3,87931
Medium,24.92,12.98,2546,Jesse Fisher,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Standard Therm-A-Bind Covers,South,Virginia,Suffolk,25/12/2013,26/12/2013,2,87932
Low,6.48,9.54,2547,Edna Freeman,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1905,South,Virginia,Virginia Beach,19/10/2010,19/10/2010,1,87916
High,2.61,0.5,2547,Edna Freeman,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 479,South,Virginia,Virginia Beach,03/10/2012,05/10/2012,20,87921
High,51.75,19.99,2547,Edna Freeman,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",South,Virginia,Virginia Beach,03/10/2012,05/10/2012,20,87921
Not Specified,3.15,0.5,2547,Edna Freeman,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 520,South,Virginia,Virginia Beach,12/09/2013,14/09/2013,13,87927
High,140.98,36.09,2547,Edna Freeman,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",South,Virginia,Virginia Beach,15/09/2013,16/09/2013,11,87928
Low,35.99,0.99,2548,Wayne Bass,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,Accessory31,West,California,Los Angeles,04/04/2010,11/04/2010,46,46436
Low,30.98,9.18,2548,Wayne Bass,Express Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1951,West,California,Los Angeles,21/04/2010,21/04/2010,12,40997
Low,22.99,8.99,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,Boston KS Multi-Size Manual Pencil Sharpener,West,California,Los Angeles,21/04/2010,28/04/2010,37,40997
Low,212.6,110.2,2548,Wayne Bass,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Bush Advantage Collection® Round Conference Table,West,California,Los Angeles,21/04/2010,25/04/2010,33,40997
Not Specified,5.98,1.67,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Ticonderoga® Erasable Colored Pencil Set, 12-Color",West,California,Los Angeles,04/12/2010,07/12/2010,81,29889
Low,8.33,1.99,2548,Wayne Bass,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",West,California,Los Angeles,17/06/2011,19/06/2011,12,4610
Low,15.67,1.39,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"#10 White Business Envelopes,4 1/8 x 9 1/2",West,California,Los Angeles,17/06/2011,21/06/2011,44,4610
Medium,26.38,5.86,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1935,West,California,Los Angeles,26/07/2011,27/07/2011,56,19205
Medium,3.26,1.86,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",West,California,Los Angeles,26/07/2011,28/07/2011,37,19205
Not Specified,6.81,5.48,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Avery Self-Adhesive Photo Pockets for Polaroid Photos,West,California,Los Angeles,04/03/2012,06/03/2012,35,27811
Not Specified,15.99,13.18,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",West,California,Los Angeles,04/03/2012,05/03/2012,4,27811
Low,14.97,7.51,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Pizazz® Global Quick File™,West,California,Los Angeles,21/04/2013,23/04/2013,1,40997
High,135.99,28.63,2548,Wayne Bass,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,Global Deluxe High-Back Office Chair in Storm,West,California,Los Angeles,30/05/2013,31/05/2013,3,50181
Medium,2.6,2.4,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,12 Colored Short Pencils,West,California,Los Angeles,07/09/2013,09/09/2013,25,43713
High,11.66,8.99,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,West,California,Los Angeles,24/10/2013,26/10/2013,17,53445
High,3.29,1.35,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Acco® Hot Clips™ Clips to Go,West,California,Los Angeles,24/10/2013,26/10/2013,44,53445
Low,30.98,9.18,2549,Martha Bowers,Express Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1951,East,Ohio,Whitehall,21/04/2010,21/04/2010,3,88657
Low,22.99,8.99,2549,Martha Bowers,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,Boston KS Multi-Size Manual Pencil Sharpener,East,Ohio,Whitehall,21/04/2010,28/04/2010,9,88657
Low,212.6,110.2,2549,Martha Bowers,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Bush Advantage Collection® Round Conference Table,East,Ohio,Whitehall,21/04/2010,25/04/2010,8,88657
Not Specified,5.98,1.67,2549,Martha Bowers,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Ticonderoga® Erasable Colored Pencil Set, 12-Color",East,Ohio,Whitehall,04/12/2010,07/12/2010,20,88658
Not Specified,6.81,5.48,2549,Martha Bowers,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Avery Self-Adhesive Photo Pockets for Polaroid Photos,East,Ohio,Whitehall,04/03/2012,06/03/2012,9,88661
Low,14.97,7.51,2549,Martha Bowers,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Pizazz® Global Quick File™,East,Ohio,Whitehall,21/04/2013,23/04/2013,1,88662
